env_id,env_args_id,symmetric,seed,num_agents,num_episodes,policy_id,policy_name,policy_version,agent_id,co_team_id,episode_reward_mean,episode_reward_std,num_LOSS,num_DRAW,num_WIN,num_NA
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,Random-v0,Random,0,0,(Random),0.16395,0.4368385256590815,165,0,1,834
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,Random-v0,Random,0,1,(Random),0.16745,0.42624875073130714,165,0,0,835
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed3-v0,sp_seed3,0,0,(sp_seed1),2.0179500000000004,0.6823600937188518,68,0,922,10
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed1-v0,sp_seed1,0,1,(sp_seed3),2.0210000000000004,0.6775647570527854,68,0,925,7
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed2-v0,sp_seed2,0,0,(sp_seed3),1.7125000000000001,1.056725484693163,169,0,814,17
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed3-v0,sp_seed3,0,1,(sp_seed2),1.7226000000000001,1.0446096112902659,169,0,812,19
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,Random-v0,Random,0,0,(sp_seed0),0.338,0.19936398872414246,9,0,0,991
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed0-v0,sp_seed0,0,1,(Random),2.1745,0.30043260475520966,8,0,980,12
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed3-v0,sp_seed3,0,0,(sp_seed2),1.7608000000000001,1.012323248769878,151,0,828,21
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed2-v0,sp_seed2,0,1,(sp_seed3),1.7644500000000003,1.0240379375296602,151,0,834,15
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed4-v0,sp_seed4,0,0,(sp_seed3),2.064,0.5766532753743796,52,0,938,10
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed3-v0,sp_seed3,0,1,(sp_seed4),2.0531500000000005,0.5799763594320031,55,0,926,19
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,Random-v0,Random,0,0,(sp_seed1),0.3479,0.19657209873224635,2,0,1,997
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed1-v0,sp_seed1,0,1,(Random),2.2038,0.16663000930204624,2,0,996,2
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed3-v0,sp_seed3,0,0,(sp_seed3),2.14305,0.37214808544449085,20,0,964,16
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed3-v0,sp_seed3,0,1,(sp_seed3),2.1413500000000005,0.376646621516774,21,0,962,17
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,Random-v0,Random,0,0,(sp_seed4),0.3365,0.20019428063758468,9,0,0,991
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed4-v0,sp_seed4,0,1,(Random),2.1857,0.2791066283698759,8,0,989,3
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed3-v0,sp_seed3,0,0,(sp_seed4),2.0760500000000004,0.5249656155406753,38,0,931,31
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed4-v0,sp_seed4,0,1,(sp_seed3),2.0956000000000006,0.5131331601056397,36,0,947,17
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed0-v0,sp_seed0,0,0,(sp_seed4),1.8221000000000003,0.8904867152293741,118,0,827,55
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed4-v0,sp_seed4,0,1,(sp_seed0),1.8925000000000003,0.8511103042496901,103,0,869,28
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,Random-v0,Random,0,0,(sp_seed2),0.3418,0.20802105662648676,5,0,2,993
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed2-v0,sp_seed2,0,1,(Random),2.1984000000000004,0.21556307661563942,5,0,995,0
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed1-v0,sp_seed1,0,0,(sp_seed4),2.0983500000000004,0.506482751433847,38,0,950,12
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed4-v0,sp_seed4,0,1,(sp_seed1),2.0907500000000003,0.5103890060532261,37,0,943,20
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed4-v0,sp_seed4,0,0,(Random),2.1785000000000005,0.297788095799681,9,0,986,5
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,Random-v0,Random,0,1,(sp_seed4),0.33744999999999997,0.21680635945469864,11,0,2,987
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,Random-v0,Random,0,0,(sp_seed3),0.334,0.2041053649466373,10,0,0,990
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed3-v0,sp_seed3,0,1,(Random),2.18,0.31123945765278543,10,0,988,2
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed2-v0,sp_seed2,0,0,(sp_seed4),1.7894500000000002,0.9731578481931904,138,0,832,30
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed4-v0,sp_seed4,0,1,(sp_seed2),1.7863500000000003,0.955762092520937,137,0,821,42
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed4-v0,sp_seed4,0,0,(sp_seed0),1.8592500000000003,0.8745952992670383,113,0,854,33
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed0-v0,sp_seed0,0,1,(sp_seed4),1.8220500000000002,0.9143037227858147,128,0,837,35
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,Random-v0,Random,0,0,(sp_seed4),0.3365,0.20019428063758468,9,0,0,991
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed4-v0,sp_seed4,0,1,(Random),2.1857,0.2791066283698759,8,0,989,3
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed3-v0,sp_seed3,0,0,(sp_seed4),2.0760500000000004,0.5249656155406753,38,0,931,31
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed4-v0,sp_seed4,0,1,(sp_seed3),2.0956000000000006,0.5131331601056397,36,0,947,17
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed4-v0,sp_seed4,0,0,(sp_seed1),2.0831000000000004,0.5224120882981175,40,0,940,20
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed1-v0,sp_seed1,0,1,(sp_seed4),2.1016500000000007,0.4963867217200718,37,0,949,14
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed0-v0,sp_seed0,0,0,(Random),2.1888500000000004,0.22837070192999806,4,0,988,8
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,Random-v0,Random,0,1,(sp_seed0),0.34425,0.20504740305597632,6,0,1,993
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed4-v0,sp_seed4,0,0,(sp_seed2),1.8088000000000002,0.9365161824549536,132,0,835,33
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed2-v0,sp_seed2,0,1,(sp_seed4),1.81085,0.957935163515778,135,0,843,22
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed0-v0,sp_seed0,0,0,(sp_seed0),1.9464500000000002,0.7160097048923291,88,0,875,37
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed0-v0,sp_seed0,0,1,(sp_seed0),1.9424000000000003,0.7241182500116954,91,0,871,38
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed4-v0,sp_seed4,0,0,(sp_seed3),2.064,0.5766532753743796,52,0,938,10
DrivingContinuous-v0,world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16,True,0,2,1000,DrivingContinuous-v0/world=14x14RoundAbout-num_agents=2-obs_dist=5.0-n_sensors=16/sp_seed3-v0,sp_seed3,0,1,(sp_seed4),2.0531500000000005,0.5799763594320031,55,0,926,19
